gap_id,row_id,image_filename,x_center_px,y_center_px,width_px,height_px,area_px2,area_m2
Gap-001,Row-1,0.jpg,73.0,199.8,149,173,7981,0.199525
Gap-002,Row-2,0.jpg,168.3,140.7,28,51,685,0.017125
Gap-003,Row-2,0.jpg,148.6,212.9,96,149,4143,0.103575
Gap-004,Row-2,0.jpg,67.1,401.2,111,203,5892,0.1473
Gap-005,Row-3,0.jpg,250.0,317.7,34,97,2112,0.0528
Gap-006,Row-3,0.jpg,262.8,482.1,34,63,1610,0.04025
Gap-007,Row-4,0.jpg,335.4,216.5,126,189,3372,0.0843
Gap-008,Row-4,0.jpg,419.2,321.9,48,47,990,0.02475
Gap-009,Row-4,0.jpg,485.0,445.2,63,86,2840,0.071
Gap-010,Row-5,0.jpg,374.3,130.2,59,32,889,0.022225
Gap-011,Row-5,0.jpg,363.4,154.0,51,52,747,0.018675
Gap-012,Row-5,0.jpg,461.0,205.8,109,116,2667,0.066675
Gap-013,Row-1,1.jpg,139.6,147.3,77,77,2345,0.058625
Gap-014,Row-1,1.jpg,86.6,186.9,53,35,835,0.020875
Gap-015,Row-1,1.jpg,21.1,258.9,37,62,1092,0.0273
Gap-016,Row-2,1.jpg,197.6,151.1,50,77,1654,0.04135
Gap-017,Row-2,1.jpg,134.0,290.0,93,139,4249,0.106225
Gap-018,Row-2,1.jpg,82.2,376.5,28,33,553,0.013825
Gap-019,Row-2,1.jpg,56.2,453.5,54,94,2120,0.053
Gap-020,Row-3,1.jpg,289.7,328.4,15,59,549,0.013725
Gap-021,Row-4,1.jpg,343.8,139.6,51,55,895,0.022375
Gap-022,Row-4,1.jpg,380.8,226.2,58,72,1769,0.044225
Gap-023,Row-4,1.jpg,411.5,263.4,30,37,747,0.018675
Gap-024,Row-4,1.jpg,463.7,367.6,107,173,6803,0.170075
Gap-025,Row-5,1.jpg,448.7,197.7,151,143,5895,0.147375
Gap-026,Row-1,10.jpg,63.5,198.3,153,148,5787,0.144675
Gap-027,Row-2,10.jpg,89.9,335.4,207,396,12920,0.323
Gap-028,Row-3,10.jpg,262.9,254.5,29,297,6882,0.17205
Gap-029,Row-3,10.jpg,262.9,455.1,30,49,878,0.02195
Gap-030,Row-4,10.jpg,393.1,261.0,176,316,10742,0.26855
Gap-031,Row-5,10.jpg,458.5,193.2,131,131,4690,0.11725
Gap-032,Row-1,100.jpg,81.1,313.2,157,395,14369,0.359225
Gap-033,Row-2,100.jpg,284.0,315.0,53,396,11844,0.2961
Gap-034,Row-1,101.jpg,69.1,269.3,144,314,12135,0.303375
Gap-035,Row-2,101.jpg,271.1,312.3,43,396,11686,0.29215
Gap-036,Row-1,102.jpg,24.7,154.5,54,87,3036,0.0759
Gap-037,Row-2,102.jpg,77.7,280.7,164,340,13269,0.331725
Gap-038,Row-3,102.jpg,287.5,312.6,59,396,12125,0.303125
Gap-039,Row-4,102.jpg,448.8,233.2,130,241,9633,0.240825
Gap-040,Row-1,103.jpg,94.3,254.8,130,297,10612,0.2653
Gap-041,Row-1,103.jpg,17.7,448.6,41,113,2808,0.0702
Gap-042,Row-2,103.jpg,299.8,313.1,46,396,10799,0.269975
Gap-043,Row-3,103.jpg,482.3,171.0,65,120,4283,0.107075
Gap-044,Row-1,104.jpg,98.6,310.2,160,396,13848,0.3462
Gap-045,Row-2,104.jpg,307.5,314.0,51,396,11589,0.289725
Gap-046,Row-3,104.jpg,484.4,166.7,62,109,3750,0.09375
Gap-047,Row-1,105.jpg,93.1,265.3,122,310,10815,0.270375
Gap-048,Row-1,105.jpg,21.7,470.8,52,92,2750,0.06875
Gap-049,Row-2,105.jpg,311.0,256.9,61,296,8371,0.209275
Gap-050,Row-2,105.jpg,333.8,467.6,39,93,2753,0.068825
Gap-051,Row-3,105.jpg,487.8,154.2,52,84,2975,0.074375
Gap-052,Row-1,106.jpg,52.1,231.6,114,237,8518,0.21295
Gap-053,Row-2,106.jpg,249.3,313.3,30,396,10658,0.26645
Gap-054,Row-3,106.jpg,460.4,239.7,110,258,9101,0.227525
Gap-055,Row-1,107.jpg,63.8,301.0,134,388,12787,0.319675
Gap-056,Row-2,107.jpg,276.4,313.8,36,396,11628,0.2907
Gap-057,Row-3,107.jpg,475.5,178.1,76,135,4850,0.12125
Gap-058,Row-1,108.jpg,42.3,210.3,92,201,7299,0.182475
Gap-059,Row-2,108.jpg,237.7,312.8,45,396,11097,0.277425
Gap-060,Row-3,108.jpg,440.0,231.4,138,236,9271,0.231775
Gap-061,Row-1,109.jpg,50.0,219.9,103,220,7977,0.199425
Gap-062,Row-2,109.jpg,250.5,317.8,41,396,11049,0.276225
Gap-063,Row-3,109.jpg,454.1,250.2,122,278,10276,0.2569
Gap-064,Row-1,11.jpg,40.0,161.5,87,102,4321,0.108025
Gap-065,Row-2,11.jpg,149.5,146.5,51,70,2226,0.05565
Gap-066,Row-2,11.jpg,67.2,342.8,152,317,11783,0.294575
Gap-067,Row-3,11.jpg,278.5,313.2,76,396,11927,0.298175
Gap-068,Row-4,11.jpg,429.2,240.0,177,252,10802,0.27005
Gap-069,Row-5,11.jpg,474.4,159.8,88,78,3688,0.0922
Gap-070,Row-1,110.jpg,54.7,177.2,116,130,6219,0.155475
Gap-071,Row-2,110.jpg,129.2,224.1,119,236,8398,0.20995
Gap-072,Row-2,110.jpg,34.0,435.8,75,159,4512,0.1128
Gap-073,Row-3,110.jpg,236.5,178.3,30,124,2988,0.0747
Gap-074,Row-3,110.jpg,234.2,480.3,29,71,1776,0.0444
Gap-075,Row-4,110.jpg,352.2,207.8,113,194,6081,0.152025
Gap-076,Row-4,110.jpg,414.0,333.0,40,43,834,0.02085
Gap-077,Row-4,110.jpg,433.1,387.0,33,48,938,0.02345
Gap-078,Row-4,110.jpg,484.7,475.7,55,84,2683,0.067075
Gap-079,Row-5,110.jpg,439.8,191.2,150,158,7974,0.19935
Gap-080,Row-1,111.jpg,88.9,159.8,115,93,3869,0.096725
Gap-081,Row-1,111.jpg,17.0,231.8,37,44,926,0.02315
Gap-082,Row-2,111.jpg,166.1,174.7,87,117,4286,0.10715
Gap-083,Row-2,111.jpg,49.2,401.0,100,202,7238,0.18095
Gap-084,Row-3,111.jpg,247.3,128.7,30,35,654,0.01635
Gap-085,Row-3,111.jpg,246.2,199.2,35,101,2647,0.066175
Gap-086,Row-3,111.jpg,235.7,441.3,35,151,4194,0.10485
Gap-087,Row-4,111.jpg,380.4,314.3,190,396,15795,0.394875
Gap-088,Row-5,111.jpg,442.6,202.2,159,171,7749,0.193725
Gap-089,Row-1,112.jpg,115.8,183.7,123,113,4537,0.113425
Gap-090,Row-1,112.jpg,28.0,282.2,69,80,2999,0.074975
Gap-091,Row-2,112.jpg,106.2,324.6,218,396,14752,0.3688
Gap-092,Row-3,112.jpg,246.3,318.1,44,396,11428,0.2857
Gap-093,Row-4,112.jpg,384.0,321.5,190,396,15145,0.378625
Gap-094,Row-5,112.jpg,393.3,185.5,126,159,6676,0.1669
Gap-095,Row-5,112.jpg,486.6,299.6,62,75,2316,0.0579
Gap-096,Row-1,113.jpg,179.7,144.0,60,67,2312,0.0578
Gap-097,Row-1,113.jpg,82.1,255.1,153,199,7059,0.176475
Gap-098,Row-2,113.jpg,192.9,208.1,83,175,5181,0.129525
Gap-099,Row-2,113.jpg,124.2,407.8,97,210,6850,0.17125
Gap-100,Row-3,113.jpg,252.8,171.8,36,135,2764,0.0691
Gap-101,Row-3,113.jpg,270.9,417.7,43,205,5595,0.139875
Gap-102,Row-4,113.jpg,297.5,169.7,95,138,4215,0.105375
Gap-103,Row-4,113.jpg,368.9,272.9,60,58,1978,0.04945
Gap-104,Row-4,113.jpg,463.5,419.9,106,166,5143,0.128575
Gap-105,Row-5,113.jpg,397.9,229.3,227,245,11757,0.293925
Gap-106,Row-1,114.jpg,58.8,175.7,129,125,6273,0.156825
Gap-107,Row-2,114.jpg,168.1,157.5,66,81,2569,0.064225
Gap-108,Row-2,114.jpg,86.0,325.3,87,158,4791,0.119775
Gap-109,Row-3,114.jpg,235.6,205.1,30,92,1296,0.0324
Gap-110,Row-3,114.jpg,233.1,399.0,35,240,6404,0.1601
Gap-111,Row-4,114.jpg,402.9,308.1,225,394,16627,0.415675
Gap-112,Row-5,114.jpg,419.7,217.9,184,218,8964,0.2241
Gap-113,Row-1,115.jpg,147.6,133.9,46,47,1108,0.0277
Gap-114,Row-1,115.jpg,60.3,232.7,125,165,6639,0.165975
Gap-115,Row-2,115.jpg,175.9,159.1,60,89,1622,0.04055
Gap-116,Row-2,115.jpg,151.7,232.8,35,48,1027,0.025675
Gap-117,Row-2,115.jpg,125.3,285.9,35,27,568,0.0142
Gap-118,Row-2,115.jpg,34.5,490.8,33,47,1184,0.0296
Gap-119,Row-3,115.jpg,246.0,181.0,23,39,504,0.0126
Gap-120,Row-3,115.jpg,263.4,423.6,33,111,2544,0.0636
Gap-121,Row-4,115.jpg,301.5,142.7,56,57,1698,0.04245
Gap-122,Row-4,115.jpg,336.2,208.2,70,84,2720,0.068
Gap-123,Row-4,115.jpg,384.8,282.1,59,66,1739,0.043475
Gap-124,Row-4,115.jpg,461.7,417.7,107,195,4858,0.12145
Gap-125,Row-5,115.jpg,390.8,205.2,172,180,8738,0.21845
Gap-126,Row-5,115.jpg,477.1,318.5,45,58,1233,0.030825
Gap-127,Row-1,116.jpg,71.8,217.1,161,193,8392,0.2098
Gap-128,Row-2,116.jpg,160.8,182.3,45,82,1800,0.045
Gap-129,Row-2,116.jpg,133.5,246.6,57,60,1855,0.046375
Gap-130,Row-2,116.jpg,80.1,366.1,86,168,5522,0.13805
Gap-131,Row-2,116.jpg,26.9,481.4,50,70,2234,0.05585
Gap-132,Row-3,116.jpg,242.0,187.5,29,68,1220,0.0305
Gap-133,Row-3,116.jpg,241.7,321.4,30,180,3915,0.097875
Gap-134,Row-4,116.jpg,397.3,317.5,222,396,16293,0.407325
Gap-135,Row-5,116.jpg,414.5,218.5,188,222,8124,0.2031
Gap-136,Row-1,117.jpg,149.1,161.5,94,108,4487,0.112175
Gap-137,Row-1,117.jpg,38.9,272.2,99,92,3817,0.095425
Gap-138,Row-2,117.jpg,209.7,134.0,34,43,612,0.0153
Gap-139,Row-2,117.jpg,173.1,233.3,94,152,5219,0.130475
Gap-140,Row-2,117.jpg,75.5,428.9,88,172,5478,0.13695
Gap-141,Row-3,117.jpg,271.8,198.7,30,53,1146,0.02865
Gap-142,Row-3,117.jpg,271.3,368.6,30,187,5041,0.126025
Gap-143,Row-4,117.jpg,412.4,302.5,209,378,15437,0.385925
Gap-144,Row-5,117.jpg,431.6,197.8,168,172,8429,0.210725
Gap-145,Row-1,118.jpg,112.0,199.2,131,118,2867,0.071675
Gap-146,Row-1,118.jpg,19.1,274.5,38,42,627,0.015675
Gap-147,Row-2,118.jpg,179.6,181.5,41,61,927,0.023175
Gap-148,Row-2,118.jpg,122.0,298.0,66,86,2493,0.062325
Gap-149,Row-2,118.jpg,45.5,451.1,76,139,4650,0.11625
Gap-150,Row-3,118.jpg,259.6,183.7,30,65,1156,0.0289
Gap-151,Row-3,118.jpg,257.1,282.9,30,123,2236,0.0559
Gap-152,Row-3,118.jpg,261.4,472.9,30,87,2218,0.05545
Gap-153,Row-4,118.jpg,323.5,181.7,93,135,4839,0.120975
Gap-154,Row-4,118.jpg,382.7,280.2,35,37,719,0.017975
Gap-155,Row-4,118.jpg,443.4,417.8,117,195,7640,0.191
Gap-156,Row-5,118.jpg,431.9,233.8,193,202,8920,0.223
Gap-157,Row-6,118.jpg,448.5,194.7,152,137,5054,0.12635
Gap-158,Row-1,119.jpg,67.3,206.3,155,152,6721,0.168025
Gap-159,Row-2,119.jpg,186.8,140.9,46,58,1687,0.042175
Gap-160,Row-2,119.jpg,101.4,331.9,174,346,12936,0.3234
Gap-161,Row-3,119.jpg,238.4,139.0,30,50,1243,0.031075
